"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Na het bereiken van het doel mogen extra reps de teller niet verhogen.","13","Rep Na Finished Telt Niet Meer","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of het dashboard 'error_piconnect' toont als de Pi langer dan 20 seconden niks stuurt.","4","Test Pi Verbindingsfout (Timeout)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Een beweging van 1.1 seconde moet als 'ok' worden beschouwd.","3","Grenswaarde: Beweging Net Binnen Goed Tempo (1.1s)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of de status 'too_slow' wordt als een beweging langer dan 5 seconden duurt.","4","Test Te Langzame Beweging","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Een beweging van exact 5.0 seconde valt op de grens en is 'too_slow'.","3","Grenswaarde: Beweging Precies op MAX_FREQ (5.0s)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of de server herkent wanneer de patiënt stopt met bewegen.","3","Test Patiënt Staat Stil (Inactief)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert dat een lege error state terugkomt als er geen error is.","1","Test Lege Error State","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of het dashboard 'error_piconnect' toont als de Pi langer dan 20 seconden niks stuurt.","4","Test Pi Verbindingsfout (Timeout)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Bij meerdere errors moet altijd de laatste zichtbaar zijn.","1","Test Meest Recente Error Overschrijft Vorige","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Een beweging van exact 1.0 seconde valt op de grens en is 'ok' (niet < MIN_FREQ).","3","Grenswaarde: Beweging Precies op MIN_FREQ (1.0s)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of een herhaling binnen de 1-5 seconden correct wordt geteld.","5","Test Perfect Ritmische Beweging","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of de status 'finished' wordt bij 20 reps voor oefening 2.","15","Test Oefening 2 Voltooid (Doekje vegen — 20 reps)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert dat lege keypoints {} correct terugkomen.","1","Test Lege Keypoints","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert dat een lege error state terugkomt als er geen error is.","0","Test Lege Error State","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"States mogen niet verwerkt worden als actief=0.","3","State Update Genegeerd Als Oefening Niet Actief","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Na het bereiken van het doel mogen extra reps de teller niet verhogen.","15","Rep Na Finished Telt Niet Meer","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Bij meerdere errors moet altijd de laatste zichtbaar zijn.","2","Test Meest Recente Error Overschrijft Vorige","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Een beweging van 1.1 seconde moet als 'ok' worden beschouwd.","3","Grenswaarde: Beweging Net Binnen Goed Tempo (1.1s)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"States mogen niet verwerkt worden als actief=0.","4","State Update Genegeerd Als Oefening Niet Actief","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Timer reset als polsen uit beeld verdwijnen.","1","Test Calibratie Onderbreking","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
